Distance,Population,Safety,Shelter_Indices
0.22177844291586513,0.11293032820754144,0.06486379820539408,"[2950, 5600, 1714, 4665, 4655, 2942, 1237, 5584, 4938, 1692, 4446, 917, 5533, 4644, 5579, 5270, 257, 548, 4108, 928, 4258, 2942, 929, 1709, 257, 870, 5567, 5490, 493, 182, 5578, 5581, 551, 4893, 5314, 3231, 4664, 5597, 5555, 3575, 1682, 4642, 4433, 880, 4452, 553, 4364, 3587, 5818, 3570, 899, 5812, 888, 259, 542, 5508, 880, 5590, 5556, 5275, 2945, 926, 1704, 2777, 5268, 881, 2473, 4670, 566, 1707, 1724, 1203, 5554, 2294, 2947, 869, 5569, 522, 2941, 2361, 4359, 542, 1250, 2942, 5555, 1276, 5366, 1249, 2468, 4939, 4656, 1890, 3578, 1724, 2945, 4937, 3557, 4651, 5657, 5417, 4787, 4938, 5705, 4655, 2482, 3576, 4074, 5592, 445, 4366, 867, 1762, 539, 4132, 3300, 5596, 3699, 869, 233, 2805, 541, 4373, 4227, 3282, 2463, 3523, 4334, 4411, 1727, 3183, 5580, 4662, 5407, 4458, 5474, 5576, 5274, 4655, 2948, 257, 4353, 5475, 5283, 897, 3604, 2399]"
0.20971384390007264,0.12322287822193963,0.0681209142493735,"[2950, 5599, 1714, 4665, 4374, 2942, 1236, 5582, 4938, 1680, 5482, 919, 5535, 4644, 5575, 5280, 266, 548, 4108, 928, 4258, 2941, 548, 1709, 258, 880, 5565, 5495, 493, 280, 5577, 5581, 551, 4893, 5314, 3237, 4611, 5597, 5555, 3576, 1682, 4621, 4431, 880, 4459, 553, 4362, 3588, 5814, 3570, 883, 5813, 889, 259, 918, 5508, 880, 5590, 5554, 5276, 2942, 921, 1704, 2822, 5268, 881, 2471, 4663, 882, 1707, 1724, 1204, 5554, 2293, 2947, 869, 5570, 522, 2945, 2367, 4360, 5502, 1250, 2942, 5539, 1276, 5365, 1249, 2370, 4937, 4655, 1890, 3567, 1726, 2945, 4937, 3566, 4651, 5657, 5417, 4787, 4939, 5608, 4656, 1729, 3576, 4073, 5592, 234, 4367, 868, 1762, 539, 4132, 3300, 5508, 3699, 869, 230, 2817, 541, 4378, 4230, 3283, 2463, 3612, 4349, 4426, 1725, 3183, 5582, 4657, 5407, 4449, 5480, 5575, 5283, 4655, 2948, 241, 4608, 5475, 5283, 902, 3604, 2399]"
0.20884222321798404,0.12475310427824482,0.06682339331015062,"[2950, 5599, 1714, 4665, 4645, 2951, 1205, 5582, 4938, 1680, 5482, 865, 5535, 4644, 5575, 5280, 266, 547, 4108, 928, 4258, 2945, 549, 1726, 258, 880, 5538, 5495, 493, 280, 5538, 5582, 551, 4893, 5314, 3237, 4669, 5597, 5555, 3592, 1673, 4621, 4431, 885, 4451, 553, 4363, 3597, 5814, 3570, 869, 5819, 889, 260, 4315, 5502, 880, 5590, 5554, 5276, 2942, 1691, 1704, 2776, 5268, 881, 2471, 4666, 882, 1703, 1728, 1204, 5554, 2293, 2947, 869, 5570, 522, 2946, 2367, 4360, 5504, 1249, 2942, 5539, 1276, 5365, 1250, 2471, 4938, 4655, 1890, 3612, 1726, 2945, 4895, 3566, 4651, 5657, 5417, 4787, 4938, 5608, 4656, 1768, 3576, 4074, 5591, 232, 4369, 868, 1762, 539, 4132, 3300, 5505, 3699, 869, 234, 2825, 540, 4378, 4230, 3283, 2463, 3612, 4479, 4426, 1725, 3183, 5582, 4670, 5407, 4360, 5475, 5575, 5294, 4655, 2948, 241, 4608, 5474, 5283, 881, 3604, 2399]"
0.17811937593503852,0.1369687366423687,0.0676751855415199,"[2950, 5599, 1714, 4671, 4388, 3095, 1205, 5584, 4919, 1680, 4488, 922, 5534, 4644, 5574, 5280, 331, 495, 4108, 928, 4258, 2950, 901, 1707, 304, 1715, 5561, 5494, 493, 278, 5587, 5582, 551, 4893, 5314, 3235, 4668, 5598, 5555, 4675, 1682, 4600, 4432, 880, 4487, 553, 4363, 3595, 5814, 3570, 867, 5812, 889, 246, 4611, 5502, 880, 5590, 5554, 5264, 2764, 5465, 1704, 2778, 5268, 881, 2442, 4665, 4757, 1710, 1723, 1204, 5553, 2289, 2947, 867, 5569, 522, 2945, 2360, 4360, 5494, 1250, 2942, 5538, 1275, 5365, 1249, 2442, 4905, 4654, 1890, 3611, 1726, 3196, 4895, 3571, 4653, 5657, 5417, 4787, 4938, 5602, 4656, 1728, 3576, 4074, 5592, 281, 4369, 869, 1762, 539, 4132, 3300, 5505, 3698, 869, 230, 2826, 538, 4378, 4233, 3372, 2463, 3611, 4484, 4439, 1723, 3183, 5579, 4662, 5406, 4438, 5481, 5575, 5277, 4652, 2947, 242, 4265, 5474, 5283, 880, 3604, 2399]"
0.20164730113139642,0.12529797805858098,0.0687054236764133,"[2950, 5599, 1714, 4665, 4677, 2943, 1206, 5584, 4937, 1702, 5482, 867, 5534, 4644, 5575, 5280, 266, 547, 4108, 928, 4258, 2951, 901, 1726, 262, 890, 5813, 5495, 493, 280, 5534, 5581, 551, 4893, 5314, 3237, 4668, 5597, 5553, 3576, 1683, 4621, 4431, 879, 4459, 553, 4362, 3557, 5818, 3577, 868, 5818, 888, 240, 4387, 5508, 880, 5590, 5554, 5264, 2947, 5589, 1704, 2822, 5268, 883, 2449, 4663, 882, 1710, 1690, 1203, 5554, 2293, 2947, 867, 5569, 522, 2946, 2367, 4360, 1247, 1250, 2942, 5565, 1272, 5365, 1250, 2368, 4904, 4654, 1890, 3613, 1726, 2945, 4895, 3563, 4651, 5657, 5417, 4787, 4938, 5702, 4639, 1703, 3576, 4078, 5592, 232, 4368, 868, 1762, 539, 4132, 3300, 5505, 3699, 869, 233, 2824, 540, 4378, 4233, 3283, 2463, 3612, 4339, 4426, 1725, 3183, 5582, 4670, 5407, 4361, 5481, 5575, 5275, 4655, 2948, 258, 4349, 5474, 5283, 880, 3604, 2399]"
0.17745480432871677,0.13830202393015661,0.06802337159964443,"[2950, 5600, 1714, 4671, 4670, 3095, 1206, 5584, 4919, 1704, 4470, 924, 5534, 4644, 5574, 5280, 330, 495, 4108, 928, 4258, 2944, 901, 1707, 304, 1715, 5819, 5494, 493, 47, 5586, 5582, 551, 4893, 5314, 3235, 4682, 5598, 5555, 4651, 1682, 4600, 4432, 879, 4445, 553, 4362, 3595, 5812, 3577, 867, 5812, 868, 246, 4610, 5502, 880, 5590, 5554, 5264, 2764, 5465, 1704, 2778, 5269, 881, 2441, 4665, 4610, 1710, 1723, 1204, 5554, 2289, 2947, 867, 5569, 522, 2941, 2368, 4365, 5494, 1250, 2942, 5538, 1275, 5365, 1249, 2445, 4903, 4654, 1890, 3611, 1726, 3196, 4895, 3569, 4651, 5657, 5417, 4787, 4938, 5603, 4654, 1729, 3576, 4074, 5592, 280, 4369, 868, 1762, 539, 4132, 3300, 5505, 3698, 869, 230, 2825, 538, 4378, 4233, 3372, 2463, 3611, 4483, 4439, 1723, 3183, 5579, 4667, 5406, 4438, 5481, 5575, 5282, 4652, 2947, 242, 4265, 5474, 5283, 881, 3604, 2399]"
0.19547871628912653,0.1278603454732772,0.06875621743397496,"[2950, 5599, 1714, 4665, 4374, 2943, 1206, 5584, 4938, 1702, 5482, 867, 5535, 4644, 5575, 5280, 269, 498, 4108, 928, 4258, 2944, 906, 1711, 300, 888, 5813, 5495, 493, 280, 5577, 5581, 551, 4893, 5314, 3237, 4683, 5597, 5554, 3592, 1683, 4621, 4452, 885, 4459, 553, 4362, 3557, 5812, 3570, 867, 5813, 890, 241, 4388, 5502, 880, 5590, 5554, 5278, 2947, 1691, 1704, 2811, 5268, 881, 2449, 4642, 882, 1710, 1691, 1204, 5554, 2293, 2947, 867, 5569, 522, 2945, 2367, 4360, 5501, 1249, 2942, 5538, 1276, 5365, 1250, 2368, 4938, 4655, 1890, 3613, 1726, 2945, 4895, 3563, 4654, 5657, 5417, 4787, 4939, 5692, 4656, 1726, 3576, 4074, 5592, 234, 4369, 868, 1762, 539, 4132, 3300, 5505, 3699, 869, 234, 2825, 540, 4378, 4187, 3282, 2463, 3612, 4479, 4426, 1725, 3183, 5582, 4670, 5407, 4359, 5481, 5575, 5283, 4654, 2948, 241, 4371, 5474, 5283, 880, 3604, 2399]"
0.21134601572599315,0.12196036580408759,0.06770972519207213,"[2950, 5599, 1714, 4665, 4374, 2942, 1236, 5582, 4938, 1680, 5482, 919, 5535, 4644, 5575, 5280, 266, 548, 4108, 928, 4258, 2941, 548, 1709, 258, 880, 5565, 5495, 493, 280, 5577, 5581, 551, 4893, 5314, 3237, 4610, 5597, 5555, 3592, 1682, 4621, 4431, 880, 4459, 553, 4363, 3588, 5814, 3570, 883, 5813, 889, 259, 918, 5508, 880, 5590, 5554, 5276, 2942, 921, 1704, 2822, 5268, 881, 2471, 4666, 882, 1707, 1728, 1204, 5554, 2293, 2947, 869, 5570, 522, 2946, 2367, 4360, 5504, 1249, 2942, 5539, 1276, 5365, 1249, 2468, 4937, 4655, 1890, 3567, 1726, 2945, 4937, 3566, 4651, 5657, 5417, 4787, 4939, 5608, 4656, 1729, 3576, 4073, 5592, 232, 4367, 868, 1762, 539, 4132, 3300, 5508, 3699, 869, 230, 2826, 541, 4378, 4230, 3283, 2463, 3612, 4362, 4426, 1725, 3183, 5582, 4670, 5407, 4449, 5480, 5575, 5295, 4655, 2948, 241, 4608, 5475, 5283, 902, 3604, 2399]"
0.21333942488979513,0.1212067955162568,0.06693403284486987,"[2950, 5599, 1714, 4665, 4385, 2943, 1205, 5581, 4938, 1680, 5503, 921, 5534, 4644, 5566, 5280, 266, 547, 4108, 928, 4258, 2945, 549, 1710, 258, 880, 5548, 5495, 493, 295, 5592, 5581, 551, 4893, 5314, 3237, 4659, 5598, 5555, 3577, 1681, 4610, 4453, 885, 4451, 553, 4363, 3557, 5813, 3570, 869, 5819, 889, 260, 517, 5508, 880, 5590, 5554, 5276, 2948, 912, 1704, 2811, 5268, 881, 2471, 4665, 882, 1703, 1729, 1204, 5554, 2293, 2947, 867, 5569, 522, 2946, 2367, 4360, 5507, 1249, 2942, 5539, 1276, 5365, 1250, 2480, 4938, 4655, 1890, 3566, 1726, 2945, 4941, 3567, 4651, 5657, 5417, 4787, 4939, 5608, 4656, 1729, 3576, 4074, 5592, 232, 4369, 868, 1762, 539, 4132, 3300, 5505, 3699, 869, 233, 2816, 540, 4374, 4230, 3283, 2463, 3612, 4474, 4426, 1725, 3176, 5582, 4669, 5407, 4443, 5475, 5575, 5294, 4655, 2948, 240, 4608, 5475, 5283, 880, 3604, 2399]"
0.22231996335448,0.11543748127999987,0.06342090172790223,"[2950, 5599, 1714, 4671, 4616, 2946, 1235, 5584, 4939, 1680, 5399, 924, 5534, 4644, 5578, 5268, 256, 552, 4108, 928, 4258, 2953, 568, 1710, 257, 879, 5579, 5490, 493, 182, 5579, 5581, 551, 4888, 5314, 3237, 4676, 5578, 5555, 3527, 1682, 4621, 4432, 880, 4430, 553, 4369, 3588, 5818, 3570, 2970, 5812, 891, 259, 544, 5477, 880, 5590, 5554, 5277, 2953, 1813, 1704, 2782, 5268, 881, 2473, 4663, 547, 1714, 1725, 1204, 5554, 2294, 2945, 867, 5569, 522, 2941, 2360, 4359, 542, 1250, 2942, 5546, 1276, 5365, 1249, 2468, 4936, 4656, 1890, 3579, 1724, 2941, 4937, 3555, 4655, 5657, 5417, 4787, 4939, 5619, 4642, 1708, 3576, 4073, 5594, 244, 4366, 868, 1762, 539, 4132, 3300, 5505, 3699, 869, 230, 2815, 541, 4345, 4233, 3282, 2463, 3610, 4361, 4426, 1709, 3184, 5582, 4656, 5412, 4453, 5474, 5576, 5278, 4655, 2951, 257, 4292, 5476, 5282, 881, 3604, 2399]"
